2015-09-14 13:20:53,210, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.130000000000052jump up value: 30.130000000000052temp limit value: 0.3013000000000005
2015-09-14 13:21:38,226, INFO, *******INFO NEW TEST**************
2015-09-14 13:21:38,246, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:21:38,246, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:21:38,246, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:21:38,246, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:21:38,446, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 22.850000000000023jump up value: 22.850000000000023temp limit value: 0.0
2015-09-14 13:21:38,446, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.010000000000048jump up value: 31.010000000000048temp limit value: 0.3101000000000005
2015-09-14 13:22:23,772, INFO, *******INFO NEW TEST**************
2015-09-14 13:22:23,802, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:22:23,802, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:22:23,802, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:22:23,802, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:22:24,002, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.450000000000045jump up value: 23.450000000000045temp limit value: 0.0
2015-09-14 13:22:24,002, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.190000000000055jump up value: 30.190000000000055temp limit value: 0.30190000000000056
2015-09-14 13:27:12,128, INFO, *******INFO NEW TEST**************
2015-09-14 13:27:12,148, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:27:12,148, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:27:12,148, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:27:12,148, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:27:12,348, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.230000000000018jump up value: 23.230000000000018temp limit value: 0.0
2015-09-14 13:27:12,348, DEBUG, UP VALUE-Tobj:--> object temperature value: 29.870000000000005jump up value: 29.870000000000005temp limit value: 0.2987000000000001
2015-09-14 14:09:36,148, INFO, *******INFO NEW TEST**************
2015-09-14 14:09:36,170, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 14:09:36,171, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 14:09:36,173, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 14:09:36,174, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 14:09:36,375, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 22.850000000000023jump up value: 22.850000000000023temp limit value: 0.0
2015-09-14 14:09:36,378, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.310000000000002jump up value: 31.310000000000002temp limit value: 0.31310000000000004
2015-09-14 14:09:41,961, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.910000000000025jump up value: 30.910000000000025temp limit value: 0.30910000000000026
2015-09-14 14:10:21,372, INFO, *******INFO NEW TEST**************
2015-09-14 14:10:21,395, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 14:10:21,397, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 14:10:21,398, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 14:10:21,400, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 14:10:21,601, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.590000000000032jump up value: 23.590000000000032temp limit value: 0.0
2015-09-14 14:10:21,607, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.010000000000048jump up value: 31.010000000000048temp limit value: 0.3101000000000005
2015-09-14 14:10:26,220, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.410000000000025jump up value: 31.410000000000025temp limit value: 0.31410000000000027
2015-09-14 14:10:26,223, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.230000000000018jump up value: 23.230000000000018temp limit value: 0.0
2015-09-14 14:10:53,460, INFO, *******INFO NEW TEST**************
2015-09-14 14:10:53,480, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 14:10:53,482, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 14:10:53,483, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 14:10:53,483, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 14:10:53,686, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.27000000000004jump up value: 23.27000000000004temp limit value: 0.0
2015-09-14 14:10:53,687, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.03000000000003jump up value: 30.03000000000003temp limit value: 0.3003000000000003
2015-09-14 14:10:58,260, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.630000000000052jump up value: 30.630000000000052temp limit value: 0.3063000000000005
2015-09-14 14:10:58,263, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 22.950000000000045jump up value: 22.950000000000045temp limit value: 0.0
2015-09-14 14:11:00,467, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.450000000000045jump up value: 0.8199999999999932temp limit value: 0.31450000000000045
2015-09-14 14:11:00,469, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.49000000000001jump up value: 0.5399999999999636temp limit value: 0.0
2015-09-14 14:11:02,671, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 29.890000000000043jump up value: -1.5600000000000023temp limit value: 0.29890000000000044
2015-09-14 14:11:02,674, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.850000000000023jump up value: -0.6399999999999864temp limit value: 0.0
2015-09-14 14:11:04,878, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.410000000000025jump up value: 0.5600000000000023temp limit value: 0.0
2015-09-14 14:11:07,082, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.23000000000002jump up value: 4.339999999999975temp limit value: 0.3423000000000002
2015-09-14 14:11:07,082, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.350000000000023jump up value: 2.9399999999999977temp limit value: 0.0
2015-09-14 14:11:20,311, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 28.710000000000036jump up value: -5.519999999999982temp limit value: 0.28710000000000035
2015-09-14 14:11:20,312, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.450000000000045jump up value: -2.8999999999999773temp limit value: 0.0
2015-09-14 14:11:22,517, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 24.650000000000034jump up value: 1.1999999999999886temp limit value: 0.0
2015-09-14 14:11:27,165, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.590000000000032jump up value: -1.1200000000000045temp limit value: 0.2759000000000003
2015-09-14 14:11:27,167, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.190000000000055jump up value: -1.4599999999999795temp limit value: 0.0
2015-09-14 14:11:29,371, DEBUG, UP VALUE-Tobj:--> object temperature value: 28.090000000000032jump up value: 0.5temp limit value: 0.2809000000000003
2015-09-14 14:11:29,374, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.250000000000057jump up value: -0.9399999999999977temp limit value: 0.0
2015-09-14 14:11:31,578, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.33000000000004jump up value: 2.240000000000009temp limit value: 0.3033000000000004
2015-09-14 14:11:31,581, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.090000000000032jump up value: 0.839999999999975temp limit value: 0.0
2015-09-14 14:11:40,397, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.53000000000003jump up value: 4.199999999999989temp limit value: 0.34530000000000033
2015-09-14 14:11:40,398, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.27000000000004jump up value: 3.180000000000007temp limit value: 0.0
2015-09-14 14:11:47,012, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 33.89000000000004jump up value: -0.6399999999999864temp limit value: 0.3389000000000004
