Time,Cycle, address, Tobject, Tambient, jumpvalue
02:50:54,623,90,33.39,31.93,0.08
02:50:55,624,90,33.33,31.93,0.06
02:50:55,625,90,33.49,31.95,-0.16
02:50:56,626,90,33.65,31.97,-0.16
02:50:56,627,90,33.33,31.97,0.32
02:50:56,628,90,33.25,31.99,0.08
02:50:57,629,90,33.21,31.97,0.04
02:50:57,630,90,33.07,31.95,0.14
02:50:58,631,90,33.27,31.93,-0.2
02:50:58,632,90,33.19,31.95,0.08
02:50:58,633,90,33.19,31.95,0.0
02:50:59,634,90,33.21,31.97,-0.02
02:50:59,635,90,33.13,31.95,0.08
02:51:00,636,90,33.07,31.95,0.06
02:51:00,637,90,33.85,31.97,-0.78
02:51:00,638,90,33.79,31.95,0.06
02:51:01,639,90,34.23,31.99,-0.44
02:51:01,640,90,34.03,31.95,0.2
02:51:02,641,90,33.47,31.95,0.56
02:51:02,642,90,33.71,31.99,-0.24
02:51:03,643,90,33.83,31.97,-0.12
02:51:03,644,90,33.55,31.95,0.28
02:51:03,645,90,33.57,31.99,-0.02
02:51:04,646,90,33.73,31.95,-0.16
02:51:04,647,90,33.39,31.99,0.34
02:51:05,648,90,33.33,31.97,0.06
02:51:05,649,90,33.29,31.97,0.04
02:51:05,650,90,33.27,31.99,0.02
02:51:06,651,90,33.57,31.97,-0.3
02:51:06,652,90,33.27,31.99,0.3
02:51:07,653,90,33.13,31.95,0.14
02:51:07,654,90,33.19,31.93,-0.06
02:51:07,655,90,33.33,31.97,-0.14
02:51:08,656,90,33.71,31.97,-0.38
02:51:08,657,90,33.61,31.99,0.1
02:51:09,658,90,33.43,31.99,0.18
02:51:09,659,90,33.35,31.99,0.08
02:51:09,660,90,33.51,31.97,-0.16
02:51:10,661,90,33.55,31.95,-0.04
02:51:10,662,90,33.71,31.97,-0.16
02:51:11,663,90,33.85,31.97,-0.14
02:51:11,664,90,34.31,31.99,-0.46
02:51:11,665,90,33.83,32.01,0.48
02:51:12,666,90,33.57,31.99,0.26
02:51:12,667,90,34.23,32.01,-0.66
02:51:13,668,90,34.55,31.99,-0.32
02:51:13,669,90,33.13,31.99,1.42
02:51:13,670,90,34.37,31.99,-1.24
02:51:14,671,90,33.83,31.97,0.54
02:51:14,672,90,33.47,32.01,0.36
02:51:15,673,90,33.35,31.99,0.12
02:51:15,674,90,33.39,31.99,-0.04
02:51:16,675,90,33.49,31.99,-0.1
02:51:16,676,90,33.35,32.01,0.14
02:51:16,677,90,33.27,31.99,0.08
02:51:17,678,90,33.19,31.99,0.08
02:51:17,679,90,33.27,31.99,-0.08
02:51:18,680,90,33.33,31.97,-0.06
02:51:18,681,90,33.55,32.01,-0.22
02:51:18,682,90,33.43,32.01,0.12
02:51:19,683,90,33.39,32.01,0.04
02:51:19,684,90,33.33,32.03,0.06
02:51:20,685,90,33.49,32.01,-0.16
02:51:20,686,90,33.73,32.03,-0.24
02:51:20,687,90,33.61,32.03,0.12
02:51:21,688,90,33.63,32.01,-0.02
02:51:21,689,90,33.63,32.03,0.0
02:51:22,690,90,33.71,32.01,-0.08
02:51:22,691,90,33.79,32.01,-0.08
02:51:22,692,90,34.33,32.01,-0.54
02:51:23,693,90,34.59,32.03,-0.26
02:51:23,694,90,34.69,31.99,-0.1
02:51:24,695,90,34.85,32.01,-0.16
02:51:24,696,90,34.85,32.01,0.0
02:51:24,697,90,34.91,32.03,-0.06
02:51:25,698,90,34.83,32.03,0.08
02:51:25,699,90,35.01,32.01,-0.18
02:51:26,700,90,35.13,32.03,-0.12
02:51:26,701,90,35.35,32.05,-0.22
02:51:26,702,90,35.13,32.03,0.22
02:51:27,703,90,35.39,32.01,-0.26
02:51:27,704,90,35.59,32.01,-0.2
02:51:28,705,90,35.59,32.03,0.0
02:51:28,706,90,35.39,32.03,0.2
02:51:29,707,90,35.47,32.03,-0.08
02:51:29,708,90,35.55,32.03,-0.08
02:51:29,709,90,35.63,32.03,-0.08
02:51:30,710,90,36.13,32.03,-0.5
02:51:30,711,90,35.67,32.03,0.46
02:51:31,712,90,35.75,32.07,-0.08
02:51:31,713,90,35.59,32.03,0.16
02:51:31,714,90,35.45,32.01,0.14
02:51:32,715,90,35.53,32.01,-0.08
02:51:32,716,90,35.53,32.03,0.0
02:51:33,717,90,35.39,31.99,0.14
02:51:33,718,90,35.45,32.05,-0.06
02:51:33,719,90,35.53,32.01,-0.08
02:51:34,720,90,35.09,32.03,0.44
02:51:34,721,90,34.83,32.05,0.26
02:51:35,722,90,34.53,32.07,0.3
02:51:35,723,90,34.47,32.05,0.06
02:51:35,724,90,34.55,32.03,-0.08
02:51:36,725,90,34.53,32.03,0.02
02:51:36,726,90,34.43,32.07,0.1
02:51:37,727,90,34.21,32.05,0.22
02:51:37,728,90,33.33,32.09,0.88
02:51:37,729,90,33.13,32.09,0.2
02:51:38,730,90,32.83,32.07,0.3
02:51:38,731,90,32.61,32.05,0.22
02:51:39,732,90,32.77,32.05,-0.16
02:51:39,733,90,32.77,32.05,0.0
02:51:40,734,90,32.71,32.03,0.06
02:51:40,735,90,32.85,32.07,-0.14
02:51:40,736,90,32.63,32.05,0.22
02:51:41,737,90,32.63,32.05,0.0
02:51:41,738,90,32.77,32.07,-0.14
02:51:42,739,90,32.81,32.07,-0.04
02:51:42,740,90,32.77,32.09,0.04
02:51:42,741,90,32.71,32.07,0.06
02:51:43,742,90,32.61,32.03,0.1
02:51:43,743,90,32.61,32.05,0.0
02:51:44,744,90,32.55,32.05,0.06
02:51:44,745,90,32.55,32.09,0.0
02:51:44,746,90,32.53,32.03,0.02
02:51:45,747,90,32.53,32.05,0.0
02:51:45,748,90,32.41,32.07,0.12
02:51:46,749,90,32.55,32.07,-0.14
02:51:46,750,90,32.59,32.07,-0.04
02:51:46,751,90,32.63,32.03,-0.04
02:51:47,752,90,32.55,32.07,0.08
02:51:47,753,90,32.47,32.03,0.08
02:51:48,754,90,32.49,32.07,-0.02
02:51:48,755,90,32.41,32.05,0.08
02:51:48,756,90,32.53,32.05,-0.12
02:51:49,757,90,32.49,32.07,0.04
02:51:49,758,90,32.41,32.05,0.08
02:51:50,759,90,32.41,32.05,0.0
02:51:50,760,90,32.35,32.05,0.06
02:51:50,761,90,32.45,32.05,-0.1
02:51:51,762,90,32.47,32.05,-0.02
02:51:51,763,90,32.55,32.05,-0.08
02:51:52,764,90,32.53,32.07,0.02
02:51:52,765,90,32.39,32.03,0.14
02:51:53,766,90,32.41,32.05,-0.02
02:51:53,767,90,32.39,32.05,0.02
02:51:53,768,90,32.55,32.05,-0.16
02:51:54,769,90,32.49,32.05,0.06
02:51:54,770,90,32.41,32.05,0.08
02:51:55,771,90,32.55,32.03,-0.14
02:51:55,772,90,32.47,32.05,0.08
02:51:55,773,90,32.45,32.07,0.02
02:51:56,774,90,32.59,32.05,-0.14
02:51:56,775,90,32.55,32.05,0.04
02:51:57,776,90,32.49,32.07,0.06
02:51:57,777,90,32.55,32.05,-0.06
02:51:57,778,90,32.59,32.07,-0.04
02:51:58,779,90,32.53,32.05,0.06
02:51:58,780,90,32.67,32.05,-0.14
02:51:59,781,90,32.47,32.05,0.2
02:51:59,782,90,32.41,32.07,0.06
